,Make,count
616,STUHLMILLER ROBERT,1
617,G ELWIN HALVORSEN,1
618,SHORT BROTHERS PLC,1
619,ERVIN REX H,1
620,ROBERTS,1
621,MURRAY BLAIR L,1
622,LAMB-ROBIN,1
623,GRANGER MICHAEL D,1
624,RAYTHEON CORPORATE JETS INC,1
625,PENELL MARK A,1
626,FURGASON JAMES E,1
627,ILYUSHIN,1
628,GILCHRIST,1
629,GARY A JAMIESON,1
630,KNOX MARION L,1
631,KIRBYBILT AIRCRAFT,1
632,LIBERTY,1
633,BRYAN JERRY R,1
634,MATHIEU,1
635,DEVOE,1
636,BOGLE ABSEY C,1
637,REFLING,1
638,YOUNG JOHN E,1
639,DAFOE GERALD W,1
640,MATTHEWS H THOMAS,1
641,BRANDT LEROY E,1
642,BOAM LARRY,1
643,CESSNA SKYHAWK II,1
644,CANADIAN LIGHT ACFT SALES &SVC,1
645,HAPHEY BRUCE FREDERIC,1
646,U-FLY-IT,1
647,CRAIG D CARTER,1
648,SEWELL WILLIAM K,1
649,GLIMN,1
650,AMATURE BUILT,1
651,JOHNSON GARY,1
652,DON W GUICE,1
653,MANISCALCO,1
654,GILL CRAIG,1
655,HIER JAMES A,1
656,STAUDACHER AIRCRAFT INC,1
657,HUNZIKER,1
658,RADDATZ STEVE,1
659,JIM RIGGS,1
660,DONHAM TIMOTHY J,1
661,ROGERS HOMER/ROGERS SHEILA,1
662,SIKES,1
663,LEFEVER PAUL M,1
664,BR LEGEND LLC,1
665,WILSON MICHAEL A,1
666,JEROME D FISCHER,1
667,MCPHERSON JOHN G,1
668,SMITH VILAS,1
669,COMP AIR INC. (PLAMBECK),1
670,FAUNCE,1
671,CONSOLIDATED AERONAUTICS,1
672,EARL ALLEN,1
673,CRIQUET AVIATION BOGOTA COLUMB,1
674,ROBERT M. JONES,1
675,KEVIN D. YARNEVICH,1
676,ZIDEK,1
677,KOONS DONALD H,1
678,BUHLMANN HOWARD,1
679,SWEENEY TIMOTHY J,1
680,SHAFFER DONALD,1
681,HOWELL BOB,1
682,MOORE JOSEPH O,1
683,HARRY OAS,1
684,WINGS AN THINGS INC,1
685,JOHN STEVEN CATURIA,1
686,VAN B ANTHONY,1
687,OLMSTED CHARLES A,1
688,GREG CONNELL,1
689,BELCHER,1
690,LOGAN JERRY L,1
691,CHRISTOPHER TOM,1
692,MORSE FRANK L,1
693,BUCKER JUNGMEISTER,1
694,M7 AEROSPACE LLC,1
695,MONNETT JOHN T JR,1
696,BUHL,1
697,SEA & SKY INC DBA KRUCKER ACFT,1
698,"HALL, WENDALL W",1
699,RYSKAMP BRUCE A,1
700,BENJAMIN HAROLD E,1
701,WATSON DAVID E,1
702,SMILEY JAMES E,1
703,GROSS MICHAEL E,1
704,MAHER DANIEL J,1
705,SEGUIN,1
706,BURR,1
707,DUENAS,1
708,SMITH CAPELLA,1
709,JEWETT BRANDON,1
710,SONEX LIMITED,1
711,GARRATT MANSFIELD W,1
712,BRUNZLICK LARRY R,1
713,SKAGGS RONNIE LYNN,1
714,BOBBI BOUCHER,1
715,FOX AL,1
716,S C AEROSTAR S .A.,1
717,VENUS,1
718,HARRITY WILLIAM V,1
719,HENDERSON W A/JOHNSON W L,1
720,COOPER MICHAEL C,1
721,RAUDENBUSH ERNIE,1
722,CAUGHRAN TERRY,1
723,MCDONNELL DOUGLAS CORPORATION,1
724,SWARTZ GENE,1
725,GLINES KENNETH,1
726,BROOK AARON D,1
727,MINI MAX,1
728,FERENCE JOHN W,1
729,SANDERSON HERBERT H,1
730,CORNELL W F/SAHAKIAN J A JR,1
731,BARROW TED A,1
732,DOVA AIRCRAFT,1
733,WEATHERLY AVIATION COMPANY INC,1
734,BRITISH AEROSPACE CIVIL AIRCR,1
735,MORMILE FRANCIS W,1
736,CAPELLA AIRCRAFT CORPORATION (,1
737,SEELA GERALD L,1
738,FOXWORTHY ROY,1
739,BURTON DENNIS W,1
740,PINKSTON RANDY T,1
741,MCKINNEY CHARLES R,1
742,EASTERWOOD MARK W,1
743,VIKING (CLARKE),1
744,BOYD KENNETH C,1
745,WAYLAND JOHN H,1
746,LERCH,1
747,GRAVES BRYON S,1
748,"PIERCE, HENRY",1
749,MARKS STEVEN,1
750,GOLDEN CIRCLE AIR INC,1
751,MCMICHAEL ELMER L,1
752,TEMPLE BENJAMIN,1
753,BOATRIGHT WAYLON,1
754,RAINBOW SKY REACH,1
755,HINTON PAUL M,1
756,J. SCHILLING,1
757,GLENN TIMOTHY C,1
758,ROCCI MARTIGNONI,1
759,AVIONS MUDRY ET CIE,1
760,HANSON ROBERT H,1
761,BROWN MARK,1
762,JONES RALPH D,1
763,PORRATA LUIS G,1
764,KEVIN METZLER,1
765,KAI ENGSTAD,1
766,EDWARD M VAN MORLAN,1
767,JOHNSON GLENN L,1
768,EROS,1
769,BAREISS DAVID A,1
770,AEROFAB INC.,1
771,BERT N NORRIS,1
772,VIKING AIR LIMITED,1
773,NICHOLSON DAVID F,1
774,CHRISTENSEN STEVE,1
775,GONZALEZ MANUEL A,1
776,STICK & RAG FLYING CLUB,1
777,STOL LLC,1
778,EICHHORN GARY L,1
779,BARNETT ALLEN S,1
780,GERDTS MARK E,1
781,BARNES THOMAS A,1
782,O'DELL,1
783,EXPERIMENTAL AMAT BUILT,1
784,EAGLE AIRCRAFT CO,1
785,TIMOTHY C WILLIAMS,1
786,FRANK WARE,1
787,HIRN ASSOCIATES LTD,1
788,BUSHMASTER,1
789,NORTON CLAUDE C,1
790,SANFORD,1
791,WELCH FLOYD L,1
792,ROBERTS BRUCE W,1
793,AVENTURA,1
794,BURKES,1
795,3XTRIM,1
796,YORK,1
797,HOLLEY CAROL L,1
798,GERALD NELSON,1
799,MELVIN K CALLEN,1
800,HICKHAM,1
801,MCHUGH TONY,1
802,NAKAJIMA,1
803,CLEVELAND ALLAN B,1
804,POLLACK,1
805,BARTELS,1
806,THOMAS A SIMINSKI,1
807,OHLGREN,1
808,KELM DAVID,1
809,RATTE JAMES,1
810,ARIOSTO JAMES J,1
811,BILLY AMERSON,1
812,THOMAS D. PARKES,1
813,HARRIS-RUNYAN,1
814,WRIGHT DANIEL J,1
815,GLAESER,1
816,ALONSO,1
817,SHEAHEN DANE E,1
818,PRUSS RICHARD S,1
819,FLOHR DAVID J,1
820,BROWN JAMES W,1
821,PHILIP D ANDERSON,1
822,TUMBLING GOOSE LLC,1
823,WORLD AIRCRAFT CO,1
824,SORENSEN DANNY,1
825,MCCORKLE ROBERT B,1
826,BOEVE EARL,1
827,BOARD JAMES A,1
828,JESSE SAINT/TROY TOWNSEND/ETHA,1
829,BROCKMAN WILLIAM A,1
830,SPERLING RICHARD G,1
831,LARRY KETTERLING,1
832,SCHMIDT DONALD L,1
833,SWEET WAYNE A,1
834,JOSEPH BENDER,1
835,KAMTZ,1
836,MILLER/CULPEPPER,1
837,BROWN ROBERT K,1
